"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"02/01/2023 03:15:00 - 02/01/2023 03:30:00","BZN|HU","21.60","23.67","23.67","21.92"
"02/01/2023 03:30:00 - 02/01/2023 03:45:00","BZN|HU","22.29","24.02","24.02","23.21"
"02/01/2023 03:45:00 - 02/01/2023 04:00:00","BZN|HU","22.97","24.38","24.38","26.07"
"02/01/2023 04:00:00 - 02/01/2023 04:15:00","BZN|HU","23.48","24.40","24.40","32.21"
"02/01/2023 04:15:00 - 02/01/2023 04:30:00","BZN|HU","23.81","20.94","20.94","39.04"
"02/01/2023 04:30:00 - 02/01/2023 04:45:00","BZN|HU","24.13","21.45","21.45","43.60"
"02/01/2023 04:45:00 - 02/01/2023 05:00:00","BZN|HU","24.46","22.61","22.61","37.28"
"02/01/2023 05:00:00 - 02/01/2023 05:15:00","BZN|HU","24.79","23.05","23.05","37.43"
"02/01/2023 05:15:00 - 02/01/2023 05:30:00","BZN|HU","25.15","38.05","38.05","34.30"
"02/01/2023 05:30:00 - 02/01/2023 05:45:00","BZN|HU","25.50","36.44","36.44","33.62"
"02/01/2023 05:45:00 - 02/01/2023 06:00:00","BZN|HU","25.85","34.82","34.82","35.36"
"02/01/2023 06:00:00 - 02/01/2023 06:15:00","BZN|HU","26.31","34.12","34.12","31.47"
"02/01/2023 06:15:00 - 02/01/2023 06:30:00","BZN|HU","26.89","30.57","30.57","27.09"
"02/01/2023 06:30:00 - 02/01/2023 06:45:00","BZN|HU","27.47","31.16","31.16","28.90"
"02/01/2023 06:45:00 - 02/01/2023 07:00:00","BZN|HU","28.04","31.68","31.68","29.68"
"02/01/2023 07:00:00 - 02/01/2023 07:15:00","BZN|HU","28.44","32.14","32.14","26.51"
"02/01/2023 07:15:00 - 02/01/2023 07:30:00","BZN|HU","28.65","27.84","27.84","21.51"
"02/01/2023 07:30:00 - 02/01/2023 07:45:00","BZN|HU","28.86","28.97","28.97","22.26"
"02/01/2023 07:45:00 - 02/01/2023 08:00:00","BZN|HU","29.07","30.09","30.09","28.53"
"02/01/2023 08:00:00 - 02/01/2023 08:15:00","BZN|HU","29.10","30.82","30.82","29.63"
"02/01/2023 08:15:00 - 02/01/2023 08:30:00","BZN|HU","28.94","22.52","22.52","30.75"
"02/01/2023 08:30:00 - 02/01/2023 08:45:00","BZN|HU","28.78","23.74","23.74","34.90"
"02/01/2023 08:45:00 - 02/01/2023 09:00:00","BZN|HU","28.63","24.97","24.97","36.36"
"02/01/2023 09:00:00 - 02/01/2023 09:15:00","BZN|HU","27.85","25.23","25.23","34.36"
"02/01/2023 09:15:00 - 02/01/2023 09:30:00","BZN|HU","26.46","32.19","32.19","32.37"
"02/01/2023 09:30:00 - 02/01/2023 09:45:00","BZN|HU","25.07","30.47","30.47","30.28"
"02/01/2023 09:45:00 - 02/01/2023 10:00:00","BZN|HU","23.68","28.76","28.76","26.65"
"02/01/2023 10:00:00 - 02/01/2023 10:15:00","BZN|HU","22.30","26.96","26.96","24.25"
"02/01/2023 10:15:00 - 02/01/2023 10:30:00","BZN|HU","20.94","23.87","23.87","18.54"
"02/01/2023 10:30:00 - 02/01/2023 10:45:00","BZN|HU","19.59","22.34","22.34","13.30"
"02/01/2023 10:45:00 - 02/01/2023 11:00:00","BZN|HU","18.23","20.81","20.81","10.43"
"02/01/2023 11:00:00 - 02/01/2023 11:15:00","BZN|HU","17.07","19.66","19.66","10.17"
"02/01/2023 11:15:00 - 02/01/2023 11:30:00","BZN|HU","16.12","10.91","10.91","11.97"
"02/01/2023 11:30:00 - 02/01/2023 11:45:00","BZN|HU","15.17","10.92","10.92","11.71"
"02/01/2023 11:45:00 - 02/01/2023 12:00:00","BZN|HU","14.22","10.64","10.64","12.17"
"02/01/2023 12:00:00 - 02/01/2023 12:15:00","BZN|HU","13.29","10.46","10.46","11.60"
"02/01/2023 12:15:00 - 02/01/2023 12:30:00","BZN|HU","12.38","9.79","9.79","9.64"
"02/01/2023 12:30:00 - 02/01/2023 12:45:00","BZN|HU","11.47","9.64","9.64","8.53"
"02/01/2023 12:45:00 - 02/01/2023 13:00:00","BZN|HU","10.55","9.33","9.33","8.14"
"02/01/2023 13:00:00 - 02/01/2023 13:15:00","BZN|HU","10.02","8.71","8.71","7.27"
"02/01/2023 13:15:00 - 02/01/2023 13:30:00","BZN|HU","9.88","6.99","6.99","6.56"
"02/01/2023 13:30:00 - 02/01/2023 13:45:00","BZN|HU","9.74","6.97","6.97","5.47"
"02/01/2023 13:45:00 - 02/01/2023 14:00:00","BZN|HU","9.60","6.95","6.95","5.67"
"02/01/2023 14:00:00 - 02/01/2023 14:15:00","BZN|HU","9.72","7.27","7.27","4.43"
"02/01/2023 14:15:00 - 02/01/2023 14:30:00","BZN|HU","10.12","5.53","5.53","4.15"
"02/01/2023 14:30:00 - 02/01/2023 14:45:00","BZN|HU","10.51","6.37","6.37","4.37"
"02/01/2023 14:45:00 - 02/01/2023 15:00:00","BZN|HU","10.91","7.22","7.22","3.66"
"02/01/2023 15:00:00 - 02/01/2023 15:15:00","BZN|HU","11.79","8.23","8.23","2.62"
"02/01/2023 15:15:00 - 02/01/2023 15:30:00","BZN|HU","13.16","5.91","5.91","3.49"
"02/01/2023 15:30:00 - 02/01/2023 15:45:00","BZN|HU","14.53","7.30","7.30","5.90"
"02/01/2023 15:45:00 - 02/01/2023 16:00:00","BZN|HU","15.90","8.70","8.70","8.75"
"02/01/2023 16:00:00 - 02/01/2023 16:15:00","BZN|HU","17.33","10.06","10.06","9.39"
"02/01/2023 16:15:00 - 02/01/2023 16:30:00","BZN|HU","18.80","9.49","9.49","10.39"
"02/01/2023 16:30:00 - 02/01/2023 16:45:00","BZN|HU","20.28","10.26","10.26","11.64"
"02/01/2023 16:45:00 - 02/01/2023 17:00:00","BZN|HU","21.76","11.48","11.48","11.73"
"02/01/2023 17:00:00 - 02/01/2023 17:15:00","BZN|HU","23.06","12.11","12.11","13.53"
"02/01/2023 17:15:00 - 02/01/2023 17:30:00","BZN|HU","24.17","11.67","11.67","14.32"
"02/01/2023 17:30:00 - 02/01/2023 17:45:00","BZN|HU","25.29","11.95","11.95","16.11"
"02/01/2023 17:45:00 - 02/01/2023 18:00:00","BZN|HU","26.41","12.43","12.43","19.64"
"02/01/2023 18:00:00 - 02/01/2023 18:15:00","BZN|HU","27.01","12.32","12.32","24.43"
