"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"02/01/2023 14:30:00 - 02/01/2023 14:45:00","BZN|HU","308.33","279.31","279.31","287.03"
"02/01/2023 14:45:00 - 02/01/2023 15:00:00","BZN|HU","234.68","218.23","218.23","229.37"
"02/01/2023 15:00:00 - 02/01/2023 15:15:00","BZN|HU","172.58","160.49","160.49","175.96"
"02/01/2023 15:15:00 - 02/01/2023 15:30:00","BZN|HU","117.86","108.31","108.31","110.90"
"02/01/2023 15:30:00 - 02/01/2023 15:45:00","BZN|HU","70.72","65.62","65.62","57.98"
"02/01/2023 15:45:00 - 02/01/2023 16:00:00","BZN|HU","33.47","32.41","32.41","24.18"
"02/01/2023 16:00:00 - 02/01/2023 16:15:00","BZN|HU","9.05","15.64","15.64","4.46"
"02/01/2023 16:15:00 - 02/01/2023 16:30:00","BZN|HU","0.25","9.70","9.70","0.17"
"02/01/2023 16:30:00 - 02/01/2023 16:45:00","BZN|HU","0.00","4.97","4.97","0.02"
"02/01/2023 16:45:00 - 02/01/2023 17:00:00","BZN|HU","0.00","1.39","1.39","0.02"
"02/01/2023 17:00:00 - 02/01/2023 17:15:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 17:15:00 - 02/01/2023 17:30:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 17:30:00 - 02/01/2023 17:45:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 17:45:00 - 02/01/2023 18:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 18:00:00 - 02/01/2023 18:15:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 18:15:00 - 02/01/2023 18:30:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 18:30:00 - 02/01/2023 18:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 18:45:00 - 02/01/2023 19:00:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 19:00:00 - 02/01/2023 19:15:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 19:15:00 - 02/01/2023 19:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 19:30:00 - 02/01/2023 19:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 19:45:00 - 02/01/2023 20:00:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 20:00:00 - 02/01/2023 20:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 20:15:00 - 02/01/2023 20:30:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 20:30:00 - 02/01/2023 20:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 20:45:00 - 02/01/2023 21:00:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 21:00:00 - 02/01/2023 21:15:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 21:15:00 - 02/01/2023 21:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 21:30:00 - 02/01/2023 21:45:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 21:45:00 - 02/01/2023 22:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 22:00:00 - 02/01/2023 22:15:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 22:15:00 - 02/01/2023 22:30:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 22:30:00 - 02/01/2023 22:45:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 22:45:00 - 02/01/2023 23:00:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 23:00:00 - 02/01/2023 23:15:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 23:15:00 - 02/01/2023 23:30:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 23:30:00 - 02/01/2023 23:45:00","BZN|HU","0.00","0.00","0.00","0.01"
"02/01/2023 23:45:00 - 03/01/2023 00:00:00","BZN|HU","0.00","0.00","0.00","0.01"
"03/01/2023 00:00:00 - 03/01/2023 00:15:00","BZN|HU","0.00","0.00","0.00","0.01"
"03/01/2023 00:15:00 - 03/01/2023 00:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 00:30:00 - 03/01/2023 00:45:00","BZN|HU","0.00","0.00","0.00","0.01"
"03/01/2023 00:45:00 - 03/01/2023 01:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 01:00:00 - 03/01/2023 01:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 01:15:00 - 03/01/2023 01:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 01:30:00 - 03/01/2023 01:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 01:45:00 - 03/01/2023 02:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 02:00:00 - 03/01/2023 02:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 02:15:00 - 03/01/2023 02:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 02:30:00 - 03/01/2023 02:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 02:45:00 - 03/01/2023 03:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 03:00:00 - 03/01/2023 03:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 03:15:00 - 03/01/2023 03:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 03:30:00 - 03/01/2023 03:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 03:45:00 - 03/01/2023 04:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 04:00:00 - 03/01/2023 04:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 04:15:00 - 03/01/2023 04:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 04:30:00 - 03/01/2023 04:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 04:45:00 - 03/01/2023 05:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 05:00:00 - 03/01/2023 05:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 05:15:00 - 03/01/2023 05:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 05:30:00 - 03/01/2023 05:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 05:45:00 - 03/01/2023 06:00:00","BZN|HU","0.00","0.00","0.00","0.01"
"03/01/2023 06:00:00 - 03/01/2023 06:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 06:15:00 - 03/01/2023 06:30:00","BZN|HU","0.00","0.00","0.00","0.01"
"03/01/2023 06:30:00 - 03/01/2023 06:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"03/01/2023 06:45:00 - 03/01/2023 07:00:00","BZN|HU","0.00","0.00","0.00","0.01"
"03/01/2023 07:00:00 - 03/01/2023 07:15:00","BZN|HU","1.56","0.00","0.00","0.01"
"03/01/2023 07:15:00 - 03/01/2023 07:30:00","BZN|HU","4.60","0.99","0.99","0.38"
"03/01/2023 07:30:00 - 03/01/2023 07:45:00","BZN|HU","10.07","7.28","7.28","5.74"
"03/01/2023 07:45:00 - 03/01/2023 08:00:00","BZN|HU","21.41","18.17","18.17","21.85"
"03/01/2023 08:00:00 - 03/01/2023 08:15:00","BZN|HU","41.79","33.93","33.93","47.97"
"03/01/2023 08:15:00 - 03/01/2023 08:30:00","BZN|HU","71.35","54.31","54.31","83.84"
"03/01/2023 08:30:00 - 03/01/2023 08:45:00","BZN|HU","106.72","78.75","78.75","122.13"
"03/01/2023 08:45:00 - 03/01/2023 09:00:00","BZN|HU","144.18","107.25","107.25","156.90"
"03/01/2023 09:00:00 - 03/01/2023 09:15:00","BZN|HU","181.73","146.24","146.24","190.10"
"03/01/2023 09:15:00 - 03/01/2023 09:30:00","BZN|HU","222.44","190.58","190.58","225.65"
"03/01/2023 09:30:00 - 03/01/2023 09:45:00","BZN|HU","263.92","231.27","231.27","258.01"
"03/01/2023 09:45:00 - 03/01/2023 10:00:00","BZN|HU","302.02","268.30","268.30","296.63"
"03/01/2023 10:00:00 - 03/01/2023 10:15:00","BZN|HU","333.92","303.55","303.55","336.29"
"03/01/2023 10:15:00 - 03/01/2023 10:30:00","BZN|HU","361.73","335.52","335.52","391.68"
"03/01/2023 10:30:00 - 03/01/2023 10:45:00","BZN|HU","385.26","361.60","361.60","440.14"
"03/01/2023 10:45:00 - 03/01/2023 11:00:00","BZN|HU","403.23","379.61","379.61","478.50"
"03/01/2023 11:00:00 - 03/01/2023 11:15:00","BZN|HU","410.05","391.64","391.64","496.57"
"03/01/2023 11:15:00 - 03/01/2023 11:30:00","BZN|HU","410.05","393.54","393.54","531.89"
"03/01/2023 11:30:00 - 03/01/2023 11:45:00","BZN|HU","410.05","387.06","387.06","595.17"
"03/01/2023 11:45:00 - 03/01/2023 12:00:00","BZN|HU","410.05","387.06","387.06","592.17"
"03/01/2023 12:00:00 - 03/01/2023 12:15:00","BZN|HU","404.55","377.71","377.71","548.43"
"03/01/2023 12:15:00 - 03/01/2023 12:30:00","BZN|HU","393.69","362.99","362.99","534.83"
"03/01/2023 12:30:00 - 03/01/2023 12:45:00","BZN|HU","378.97","345.37","345.37","497.10"
"03/01/2023 12:45:00 - 03/01/2023 13:00:00","BZN|HU","359.58","324.85","324.85","450.33"
"03/01/2023 13:00:00 - 03/01/2023 13:15:00","BZN|HU","334.30","291.74","291.74","425.89"
"03/01/2023 13:15:00 - 03/01/2023 13:30:00","BZN|HU","302.07","263.70","263.70","389.18"
"03/01/2023 13:30:00 - 03/01/2023 13:45:00","BZN|HU","265.62","234.90","234.90","363.28"
"03/01/2023 13:45:00 - 03/01/2023 14:00:00","BZN|HU","228.45","202.49","202.49","337.61"
"03/01/2023 14:00:00 - 03/01/2023 14:15:00","BZN|HU","192.39","167.97","167.97","289.06"
"03/01/2023 14:15:00 - 03/01/2023 14:30:00","BZN|HU","154.49","131.85","131.85","250.40"
